source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
reuters,Reuters,Reuters Editorial,"Putin, Maduro discussed Venezuela's debt to Russia last week","Russian President Vladimir Putin and Nicolas Maduro briefly discussed Caracas' debt obligations to Russia last week during a visit to Moscow by the Venezuelan leader, the Kremlin said on Tuesday, without providing details.",https://af.reuters.com/article/worldNews/idAFKBN1WG43Q,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-10-01T14:17:59Z,"MOSCOW (Reuters) - Russian President Vladimir Putin and Nicolas Maduro briefly discussed Caracas’ debt obligations to Russia last week during a visit to Moscow by the Venezuelan leader, the Kremlin said on Tuesday, without providing details. 
Close ally Mosc… [+1258 chars]",0.0,0.0,0.0,0.0,0.0
abc-news,ABC News,The Associated Press,Protesters in Haiti burn businesses in push to oust leader,Protesters seeking to oust Haitian President Jovenel Moise have attacked businesses and a police station and opposition leaders are pledging no peace until the president resigns,https://abcnews.go.com/International/wireStory/protesters-haiti-burn-businesses-push-oust-leader-65902788,https://s.abcnews.com/images/International/WireAP_760e4944a8564864b91e36fbbd123330_16x9_992.jpg,2019-09-27T14:57:41Z,"Protesters seeking to oust Haitian President Jovenel Moise have attacked businesses and a police station, and opposition leaders are pledging that there will be no peace until he resigns.
Leaders of opposition parties have sent groups of young men onto the s… [+564 chars]",0.0,0.0,0.0,3.0,0.0
cbs-news,CBS News,Victoria Albert,New research sheds light on the day the dinosaurs died,The asteroid left a crater 90 miles wide and 18 miles deep,https://www.cbsnews.com/news/dinosaur-asteroid-crater-chicxulub-new-research-sheds-light-on-the-day-the-dinosaurs-died/,https://cbsnews3.cbsistatic.com/hub/i/r/2019/09/10/b2440b65-f1b4-403a-a7e2-a27ef04bb582/thumbnail/1200x630/e621f1e468fa9cacfd505faa988a7160/0910-ctm-dinodiscovery-pitts-1930471-640x360.jpg,2019-09-10T15:46:54Z,"For the first time, we have a detailed picture of what happened in the 24 hours after an asteroid hit the Earth 65 million years ago and caused dinosaurs to become extinct. A research team led by the University of Texas at Austin made the new discoveries usin… [+1804 chars]",0.0,99.0,39.0,43.0,0.0
the-irish-times,The Irish Times,The Irish Times,Boris Johnson: No physical infrastructure near the Border or ‘any other place’,British prime minister says proposals made a ‘genuine attempt to bridge chasm,https://www.irishtimes.com/news/politics/boris-johnson-no-physical-infrastructure-near-the-border-or-any-other-place-1.4038886,https://www.irishtimes.com/image-creator/?id=1.4038885&origw=1440,2019-10-03T10:53:04Z,"British Prime Minister Boris Johnson said his customs proposals do not involve physical infrastructure at or near the Border - or indeed at any other place. 
Mr Johnson has told MPs he has made a genuine attempt to bridge the chasm to strike a fresh Brexit d… [+3954 chars]",0.0,36.0,41.0,7.0,0.0
cbs-news,CBS News,CBS News,"Love, Hate & Obsession",Who wanted a one-time millionaire dead more: his ex-wife or his son? Peter Van Sant reports.,https://www.cbsnews.com/video/love-hate-obsession-6/,https://cbsnews1.cbsistatic.com/hub/i/r/2017/08/10/3102a9a6-d90c-4086-a984-1abe061746ba/thumbnail/1200x630/cb16e63b818055ab94b94871817dbcd6/news2.jpg,2019-10-03T16:41:46Z,,0.0,0.0,0.0,0.0,0.0
reuters,Reuters,Reuters Editorial,Portuguese drama 'A Herdade' chronicles one landowner's tale amid change,"A landowner must learn to adapt to changes sweeping his country in Portuguese film ""A Herdade"" (The Domain), a nearly-three hour long drama about a domineering family patriarch.",https://www.reuters.com/article/us-filmfestival-venice-a-herdade-idUSKCN1VQ23B,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-09-05T15:37:20Z,"VENICE, Italy (Reuters) - A landowner must learn to adapt to changes sweeping his country in Portuguese film “A Herdade” (The Domain), a nearly-three hour long drama about a domineering family patriarch. 
The movie, which premiered at the Venice Film Festiva… [+1193 chars]",0.0,0.0,0.0,0.0,0.0
abc-news,ABC News,The Associated Press,A glance at US mortgage rates: 30-year at 3-year low 3.49%,"A glance at US mortgage rates: average rates fell this week, with the key 30-year loan reaching its lowest point in nearly 3 years",https://abcnews.go.com/Business/wireStory/glance-us-mortgage-rates-30-year-year-low-65409923,,2019-09-05T16:51:54Z,"U.S. long-term mortgage rates fell this week, with the average on the key 30-year loan reaching its lowest point in nearly three years, according to mortgage buyer Freddie Mac.
<table><tr><td></td><td>This week</td><td>Last week</td><td>Year ago</td></tr><tr… [+218 chars]",0.0,0.0,0.0,0.0,0.0
abc-news,ABC News,The Associated Press,Police: No sign that Duluth synagogue fire was hate crime,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/police-sign-duluth-synagogue-fire-hate-crime-65625417,https://s.abcnews.com/images/US/WireAP_2e129dd707784d4ca0efbab68a3d406e_16x9_992.jpg,2019-09-15T16:58:27Z,"Authorities say a fire that destroyed a historic synagogue in northeastern Minnesota doesn't appear to have been a hate crime.
Duluth Police Chief Mike Tusken said Sunday that 36-year-old Matthew James Amiot, of Duluth, was arrested Friday in the fire last w… [+665 chars]",0.0,0.0,0.0,0.0,0.0
the-new-york-times,The New York Times,Nick Corasaniti,"Steeped in Hawaiian History, Longboarding Rides an Instagram Wave",The online popularity of longboarding persuaded the World Surf League to add an official tour to a sport known for shortboarding competitions.,https://www.nytimes.com/2019/09/10/sports/longboard-surfing-wsl.html,https://static01.nyt.com/images/2019/09/09/sports/09longboard5/09longboard5-facebookJumbo.jpg,2019-09-14T16:46:05Z,"You cant be a New York surfer and just shortboard. You could try, but eventually youre going to be grumpy, said Will Skudin, a homegrown New York surfer who competes on the global Big Wave tour. His family hosted Duke Kahanamoku, the legendary Hawaiian swimme… [+1031 chars]",0.0,130.0,24.0,68.0,0.0
al-jazeera-english,Al Jazeera English,Al Jazeera,Sukarno heir elected as Indonesia's first female House speaker,Maharani is the daughter of former president Megawati Sukarnoputi and granddaughter of Indonesia's founding president.,https://www.aljazeera.com/news/2019/10/sukarno-heir-elected-indonesia-female-house-speaker-191002023101226.html,https://www.aljazeera.com/mritems/Images/2019/10/2/d5b96e4a04d744f4975f58b91c840333_18.jpg,2019-10-02T04:12:55Z,"Indonesia's new parliament elected its first female speaker, Puan Maharani Nakshatra Kusyala, granddaughter of the country's first president, after members of the House of Representatives were sworn in on Tuesday amid continuing protests against several new o… [+3571 chars]",0.0,22.0,5.0,32.0,0.0
