source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
the-irish-times,The Irish Times,Barry Roche,Douglas Village shopping centre likely to be closed until summer 2020,Demolition work due on section of multistory car park damaged in recent fire,https://www.irishtimes.com/news/ireland/irish-news/douglas-village-shopping-centre-likely-to-be-closed-until-summer-2020-1.4019020,https://www.irishtimes.com/image-creator/?id=1.4019019&origw=960,2019-09-15T18:47:23Z,"ACork shopping centre which was forced to close after a fire in its multistorey car park caused upwards of 10 million worth of damage may not re-open until next summer, shopping centre management have advised tenants.
Douglas Village Shopping Centre was forc… [+3469 chars]",0.0,0.0,0.0,0.0,0.0
the-new-york-times,The New York Times,JoAnna Klein,"There Are Parasitic Wasps, and Then There’s the Crypt-Keeper",Popping out of the heads of its hosts seemed strange enough. Then scientists discovered something even stranger.,https://www.nytimes.com/2019/09/27/science/crypt-keeper-wasps-parasitic.html,https://static01.nyt.com/images/2019/09/27/science/27TB-WASP2/27TB-WASP2-facebookJumbo.jpg,2019-09-27T18:24:21Z,"To deposit its eggs, the parasitic oak gall wasp pierces a leaf or stem with its ovipositor, a long tubelike organ that would be a stinger if this wasp were the kind that stings. The plant puffs and swells, forming tumor-like growths called galls. These serve… [+984 chars]",0.0,0.0,0.0,10.0,0.0
reuters,Reuters,Reuters Editorial,"With election call imminent, Canada's Trudeau visits storm-hit region","Canadian Prime Minister Justin Trudeau took a break from election planning on Tuesday to visit the Atlantic province of Nova Scotia, where 100,000 people are still without power after Storm Dorian hit on Saturday.",https://ca.reuters.com/article/domesticNews/idCAKCN1VV21C-OCADN,https://s3.reutersmedia.net/resources/r/?m=02&d=20190910&t=2&i=1428370075&w=1200&r=LYNXNPEF891GP-OCADN,2019-09-10T15:44:03Z,"OTTAWA (Reuters) - Canadian Prime Minister Justin Trudeau took a break from election planning on Tuesday to visit the Atlantic province of Nova Scotia, where 100,000 people are still without power after Storm Dorian hit on Saturday. 
Trudeau, who has been ab… [+1045 chars]",0.0,0.0,0.0,0.0,0.0
al-jazeera-english,Al Jazeera English,Scott Heidler,US-China trade war: Supply chains affected in Thailand,Both sides have increased and added tariffs in recent weeks - affecting global markets and supply chains.,https://www.aljazeera.com/news/2019/09/us-china-trade-war-supply-chains-affected-thailand-190907114237051.html,https://www.aljazeera.com/mritems/images/2019/9/7/665003303001_6084280353001_6084275549001-th.jpg,2019-09-07T11:42:37Z,"For countries like Thailand, its largest export market is China. The economy here relies heavily on its big neighbour to the north. So businesses could be forced to recalibrate their supply chains.
White House Economic Adviser Larry Kudlow warns that the tra… [+178 chars]",0.0,0.0,0.0,10.0,0.0
cbs-news,CBS News,CBS/AP,9/11 Victims Compensation Fund is running out of money,Nearly $5 billion in benefits have been awarded out of the $7.3 billion fund,https://www.cbsnews.com/news/911-victims-compensation-fund-is-running-out-of-money/,https://cbsnews2.cbsistatic.com/hub/i/r/2012/09/12/eb6170f4-a644-11e2-a3f0-029118418759/thumbnail/1200x630/95db30b6847806cf0fd699cb8ab7e4f4/15-Unforgettable911Attacks.jpg,2019-09-10T17:48:01+00:00,"The 9/11 Victims Compensation Fund said Friday that it has ""insufficient money"" to continue paying out current and projected claims and will have to drastically reduce future payments. Nearly 40,000 people have applied to the federal fund for people with illn… [+3574 chars]",1.0,857.0,531.0,253.0,0.0
cbs-news,CBS News,CBS News,"Hurricane Dorian aftermath: As storm survivors seek to evacuate Bahamas, a few opt to stay put","The death toll has risen to 45, as officials continue to comb through miles of debris, trying to account for hundreds of missing",https://www.cbsnews.com/news/hurricane-dorian-survivors-seek-to-evacuate-bahamas-a-few-opt-to-stay-put/,https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/09/92a020d9-e374-4f0c-9029-76333a0351b0/thumbnail/1200x630/b90d6db013cec222e2e31ccb0717e3aa/0909-ctm-dorianbahamaslatest-barnett-1929575-640x360.jpg,2019-09-09T12:29:34Z,"In what is a growing humanitarian crisis, the United Nations says some 70,000 people in the Bahamas are in need of food and shelter, after Hurricane Dorian slammed the islands. The death toll has risen to 45, as officials continue to comb through miles of deb… [+4268 chars]",0.0,78.0,56.0,28.0,0.0
the-irish-times,The Irish Times,Sean Moncrieff,Seán Moncrieff: Is originality dead? Perhaps it never existed in the first place,"It sometimes feels like we’ve run out of stories, and the only option is to return to what was said before",https://www.irishtimes.com/life-and-style/people/se%C3%A1n-moncrieff-is-originality-dead-perhaps-it-never-existed-in-the-first-place-1.3998706,https://www.irishtimes.com/image-creator/?id=1.3998704&origw=1440,2019-09-07T05:00:00Z,"Myself, Herself and Daughter Number Four went to see the Lion King. We all thought it was dreadful. It apes (pun!) the original film but contains additional scenes that explain what is patently obvious, along with a few glib eco-friendly sentiments. And the h… [+3336 chars]",0.0,0.0,0.0,2.0,0.0
the-irish-times,The Irish Times,Peter McGuire,Hot school meals for all a solid start in battle against child poverty,It was heralded as a long-overdue opportunity to help children and struggling families. A Government-funded pilot scheme to provide hot meals to school children was supposed to bring Ireland into line with other European countries. But records released under …,https://www.irishtimes.com/news/social-affairs/hot-school-meals-for-all-a-solid-start-in-battle-against-child-poverty-1.4014899,https://www.irishtimes.com/polopoly_fs/1.4014898.1568214726!/image/image.jpg,2019-09-14T05:00:00Z,"It was heralded as a long-overdue opportunity to help children and struggling families. A Government-funded pilot scheme to provide hot meals to school children was supposed to bring Ireland into line with other European countries.
But records released under… [+10068 chars]",0.0,24.0,0.0,11.0,0.0
bbc-news,BBC News,https://www.facebook.com/bbcnews,Jeremy Corbyn 'daunted' by prospect of becoming prime minister,But the Labour leader says he is ready to take on the job of leading the UK if he wins an election.,https://www.bbc.co.uk/news/uk-politics-49753415,https://ichef.bbci.co.uk/images/ic/1024x576/p07ns7y7.jpg,2019-09-19T16:00:06Z,"Media captionJeremy Corbyn: Labour would deliver hope for young people in society
Jeremy Corbyn has said he is daunted by the prospect of being the next prime minister, but says he would be ready to take on the role if he won an election.
In a BBC interview… [+2927 chars]",0.0,20.0,8.0,55.0,0.0
cnn,CNN,"Meg Wagner and Artemis Moshtaghian, CNN",These satellite images show Grand Bahama before and after Dorian's wrath,A striking satellite image of Grand Bahama Island shows vast areas of the island under water after Hurricane Dorian passed through the region on Monday.,http://us.cnn.com/2019/09/03/weather/hurricane-dorian-bahamas-before-and-after-wxc-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190903095452-bahamas-after-super-tease.jpg,2019-09-03T14:24:48Z,"By Meg Wagner and Artemis Moshtaghian, CNN
Updated 10:24 AM ET, Tue September 3, 2019
Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
(CNN)A striking satellite image of Grand Bahama Island shows vast areas of the i… [+405 chars]",1.0,0.0,0.0,0.0,0.0
business-insider,Business Insider,Amanda Perelli,"YouTube star Emma Chamberlain’s dad on what it's like when your teen daughter suddenly has millions of subscribers, and the advice he gave her","YouTube star Emma Chamberlain's dad, Michael Chamberlain, said Emma's career online started to get serious almost immediately after she posted her first video. With the help of her parents, Emma now runs a business online from the popularity of her YouTube ch…",https://www.businessinsider.com/youtube-star-influencer-emma-chamberlain-dad-reaction-advice-on-fame-2019-9,https://amp.businessinsider.com/images/5d7113032e22af447b1a1159-1920-960.jpg,2019-09-07T13:15:00Z,"Emma Chamberlain's parents knew things were getting serious for her on YouTube when she began making money through Google AdSense only a few weeks after posting her first video — a 2017 summer look book, filmed by her dad — the summer before her junior year o… [+5729 chars]",0.0,63.0,1.0,24.0,0.0
espn,ESPN,Mel Kiper Jr.,Kiper & McShay pick first-round sleepers for the 2020 NFL draft,Which NFL draft prospects have the chance to sneak into the first round next April if they keep playing well? Mel and Todd pick their favorites.,http://espn.go.com/nfl/draft2020/insider/story/_/id/27735645/kiper-mcshay-pick-first-round-sleepers-2020-nfl-draft,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0930%2Fr605836_1296x729_16%2D9.jpg,2019-10-01T11:30:00Z,Five weeks into the college football season seems like a good time to start identifying prospects who could play Round 1 sleeper in April's 2020 NFL draft. Mel Kiper Jr. and Todd McShay go back and forth naming some talented players who are lurking outside th… [+1122 chars],1.0,0.0,0.0,0.0,0.0
cbs-news,CBS News,CBS News,Blood in the Sand,"Two teens killed on the same California beach six years apart. DNA on one of the victims leads to two suspects -- one of them worked for the police. ""48 Hours"" correspondent Richard Schlesinger investigates.",https://www.cbsnews.com/video/blood-in-the-sand-1/,https://cbsnews3.cbsistatic.com/hub/i/r/2018/06/10/88ecef3d-23f5-4e6a-9cf5-37d7026d02b0/thumbnail/1200x630/1bb6f639c3bc35e9987893ec2bf1bd65/bloodinthesand-full-1587209-640x360.jpg,2019-10-01T00:29:20Z,,0.0,0.0,0.0,0.0,0.0
cnn,CNN,"Gregory Krieg, CNN",Bernie Sanders talks health care and legacies with dying advocate Ady Barkan,"The future of health care in America has been the defining issue of the 2020 Democratic presidential primary. But liberal activist Ady Barkan, who is dying of ALS, believes the debate has been too shallow.",https://www.cnn.com/2019/09/03/politics/ady-barkan-bernie-sanders-health-care-interview/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190430120612-ady-barkan-congress-super-tease.jpg,2019-09-03T16:09:53Z,"(CNN)The future of health care in America has been the defining issue of the 2020 Democratic presidential primary. But liberal activist Ady Barkan, who is dying of ALS, believes the debate has been too shallow.
So, a few months ago, Barkan began asking the c… [+4917 chars]",0.0,46.0,1.0,26.0,0.0
al-jazeera-english,Al Jazeera English,Al Jazeera,Al Jazeera Arabic Exclusive: Aramco Fire Video 3,Al Jazeera Arabic exclusive footage of the Aramco fire in Abqaiq.,https://www.aljazeera.com/news/2019/09/al-jazeera-arabic-exclusive-aramco-fire-video-3-190915072832572.html,https://www.aljazeera.com/mritems/images/2019/9/15/665003303001_6086253147001_6086243306001-th.jpg,2019-09-15T07:28:32Z,"Drone attacks claimed by Yemen's Houthi rebels have caused fires at two major facilities run by Saudi Aramco, Saudi Arabia's state-owned oil giant.",0.0,0.0,1.0,5.0,0.0
the-irish-times,The Irish Times,The Irish Times,"Maurice the rooster can keep crowing, French court rules",Judge orders couple that complained about noise to pay damages to neighbour,https://www.irishtimes.com/news/offbeat/maurice-the-rooster-can-keep-crowing-french-court-rules-1.4009094,https://www.irishtimes.com/image-creator/?id=1.4009093&origw=1440,2019-09-05T15:01:42Z,"Maurice the rooster can keep crowing, a French court has ruled, as it rejected a complaint from neighbours who sued over noise nuisance.
Maurices case and several other lawsuits against the sounds of church bells, cow bells, cicadas and the pungent smells fr… [+1511 chars]",0.0,1.0,0.0,3.0,0.0
bbc-news,BBC News,,Leus du Plooy: Derbyshire batsman signs new contract until 2022,South Africa-born batsman Leus du Plooy signs a new contract with Derbyshire until the end of the 2022 season.,https://www.bbc.co.uk/sport/cricket/49569700,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/119AE/production/_108601127_duplooy.jpg,2019-09-03T14:29:54Z,"Leus du Plooy signed for Derbyshire on a Kolpak deal in April
South Africa-born batsman Leus du Plooy has signed a new deal with Derbyshire until the end of the 2022 season.
The 24-year-old left-hander has scored 385 runs, including one century and two fift… [+284 chars]",0.0,0.0,0.0,3.0,0.0
abc-news,ABC News,The Associated Press,The Latest: Saudi Arabia says drones attacked oil facilities,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/International/wireStory/latest-saudi-arabia-drones-attacked-oil-facilities-65608677,,2019-09-14T05:15:56Z,"The Latest on the explosion and fire an oil facility in Saudi Arabia (all times local):
9:10 a.m.
Saudi Arabia says drones attacked two major oil facilities in the kingdom, sparking fires.
The kingdom did not say who was behind the attacks Saturday. Yemen'… [+1088 chars]",0.0,0.0,0.0,3.0,0.0
bbc-news,BBC News,https://www.facebook.com/bbcnews,Has another interstellar visitor been found?,An amateur astronomer has discovered a comet that could come from outside our Solar System.,https://www.bbc.co.uk/news/science-environment-49676757,https://ichef.bbci.co.uk/news/1024/branded_news/128C8/production/_108767957_r4500295-comet_nucleus-spl-1.jpg,2019-09-12T14:14:46Z,"Image copyrightSPLImage caption
 Artwork: The comet has a highly eccentric orbit
An amateur astronomer has discovered a comet that could come from outside our Solar System.
If so, it would be the second interstellar object after the elongated body known as… [+2848 chars]",0.0,1414.0,363.0,450.0,0.0
bbc-news,BBC News,https://www.facebook.com/bbcnews,New guidance promised on branded school uniforms,"An inquiry heard blazers, trousers and socks can cost three times more when embroidered with a logo.",https://www.bbc.co.uk/news/uk-england-49591950,https://ichef.bbci.co.uk/news/1024/branded_news/1AB0/production/_108623860_050985065.jpg,2019-09-05T13:57:15Z,"Image copyrightGetty ImagesImage caption
 The joint session of the Education and Work and Pensions Committees looked at the financial difficulties faced by parents
A government minister has pledged to change school uniform guidance after a campaign to cut c… [+3161 chars]",0.0,1.0,2.0,9.0,0.0
abc-news,ABC News,The Associated Press,Who inspires business owners? It’s not always big successes,The people who inspire small business owners can range from famous billionaires to former bosses to parents who have dealt with failure,https://abcnews.go.com/US/wireStory/inspires-business-owners-big-successes-66006390,https://s.abcnews.com/images/US/WireAP_66ecb48880014778af216b331d815e08_16x9_992.jpg,2019-10-02T15:37:00Z,"The risks Richard Branson has taken as hes gone from founding the Virgin record label to planning space flights have been an inspiration for Elizabeth Babinski in her wedding business.
When she recently redid her website, which appeals to LGBTQ as well as he… [+6046 chars]",0.0,0.0,0.0,0.0,0.0
the-irish-times,The Irish Times,The Irish Times,Two arrested over attempted carjacking in Belfast,Violent incident was captured on video by onlooker and posted on social media,https://www.irishtimes.com/news/crime-and-law/two-arrested-over-attempted-carjacking-in-belfast-1.4012220,https://www.irishtimes.com/polopoly_fs/1.4012219.1568019149!/image/image.jpg,2019-09-09T08:44:03Z,"Two men have been arrested over an attempted carjacking in Belfast last week.
The incident, which was recorded by an onlooker and posted to social media, took place in Ireton Street, off Botanic Avenue, on Friday.
Shortly before 7.30pm, the owner of the veh… [+1059 chars]",0.0,0.0,0.0,0.0,0.0
cnn,CNN,"Lisa Respers France, CNN",'Mean Girls Day' is here and it's so fetch,"Can you believe it's been 15 years since we first fell in love with ""Mean Girls""?",https://www.cnn.com/2019/10/03/entertainment/mean-girls-day/index.html,https://cdn.cnn.com/cnnnext/dam/assets/141223125354-mean-girls-super-tease.jpg,2019-10-03T12:11:54Z,,0.0,161.0,36.0,136.0,0.0
abc-news,ABC News,The Associated Press,Justin Bieber opens up about his steep fall from grace,"Justin Bieber is opening up about a string of ""bad decisions"" that led him to go from being a beloved teen performer to ""the most ridiculed, judged and hated person in the world.""",https://abcnews.go.com/Entertainment/wireStory/justin-bieber-opens-steep-fall-grace-65362546,https://s.abcnews.com/images/Entertainment/WireAP_043e96d21e7044bebb853ded99e37007_16x9_992.jpg,2019-09-03T17:32:21Z,"Justin Bieber is opening up about a string of ""bad decisions"" that led him to go from being a beloved teen performer to ""the most ridiculed, judged and hated person in the world.""
In a very personal and introspective Instagram post , the pop star examines ho… [+463 chars]",0.0,0.0,0.0,0.0,0.0
the-irish-times,The Irish Times,Mure Dickie,"Johnson approved prorogation in August, Edinburgh court told","Nothing ‘specially shocking’ about suspending parliament, wrote UK prime minister",https://www.irishtimes.com/news/world/uk/johnson-approved-prorogation-in-august-edinburgh-court-told-1.4006822,https://www.irishtimes.com/image-creator/?id=1.4006821&origw=1440,2019-09-03T18:11:58Z,"Boris Johnson, the UK prime minister, signed off on a plan to suspend the UK parliament two weeks before it was announced, dismissing the September gathering of the House of Commons as a rigmarole, a Scottish court heard on Tuesday.
The details of when the U… [+3331 chars]",0.0,0.0,0.0,0.0,0.0
cbs-news,CBS News,Jason Silverstein,Sarah Palin's husband Todd apparently files for divorce,"Court documents say the couple's ""incompatibility"" makes it ""impossible to live together as husband and wife""",https://www.cbsnews.com/news/sarah-todd-palin-divorce-former-alaska-governor-husband-apparently-files-citing-incompatibility-of-temperament/,https://cbsnews2.cbsistatic.com/hub/i/r/2016/03/15/a0af6630-cf70-4218-bb22-6117edecd229/thumbnail/1200x630/4b63537b4cc85764e6bb36d74dafbd5d/sarah-palin-todd-palin.jpg,2019-09-10T13:24:13Z,"Sarah Palin's husband has apparently filed for a divorce, citing an ""incompatibility of temperament"" that made it ""impossible to live together as husband and wife."" 
Documents filed in Anchorage Superior Court last week do not include the full names of Palin… [+949 chars]",0.0,475.0,232.0,120.0,0.0
cbs-news,CBS News,Kathryn Watson,New revelations shed light on Trump-Ukraine call -- live updates,A series of rapid-fire developments on Monday brought the House impeachment inquiry into clearer focus,https://www.cbsnews.com/live-news/impeachment-trump-inquiry-giuliani-subpoena-william-barr-revelations-ukraine-live-updates-2019-10-01/,https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/30/b28b6d61-e7c8-457a-a92d-945c0ba5c7ae/thumbnail/1200x630g2/a8bdf443c030ba1c7f5ab5ec7d609665/ap-854090879622.jpg,2019-10-01T10:00:05Z,"By Kathryn Watson, Stefan Becket, Emily Tillett
October 1, 2019 / 6:00 AM
 / CBS News
Rudy Giuliani subpoenaed by House committees
Key facts and latest news
<ul><li>Attorney General William Barr and the president asked foreign officials for help investig… [+8088 chars]",1.0,1025.0,1324.0,491.0,0.0
abc-news,ABC News,The Associated Press,'I've got one!' Hunting neon scorpions in the Arizona desert,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Travel/wireStory/ive-hunting-neon-scorpions-arizona-desert-65719156,https://s.abcnews.com/images/Lifestyle/WireAP_c37ce340c5af44988ec447c678c932be_16x9_992.jpg,2019-09-19T14:52:27Z,"As the setting sun left a yellow tinge on dirt-colored cactuses as far as the eye could see, park ranger Anna Roberts gave us a lesson on what we were about to hunt.
""Scorpions know they will not kill us because we are much larger,"" said Roberts, explaining … [+5653 chars]",0.0,0.0,0.0,0.0,0.0
cnn,CNN,"Victor Blackwell and Christina Maxouris, CNN",Bahamas resident spent more than 18 hours in her bathtub as violent winds ripped through her home,Chermaine Smith was one of thousands of residents trapped in Hurricane Dorian's path in the northern Bahamas.,https://www.cnn.com/2019/09/07/us/bahamas-woman-bathtub-dorian/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190907005551-chermaine-smith-super-tease.jpg,2019-09-07T05:33:54Z,,0.0,6.0,0.0,24.0,0.0
the-irish-times,The Irish Times,Philip Oltermann,Hotel sues tourist after he complained about Nazi portraits,"A German man is being sued by the owners of a four-star hotel in Austria after posting online reviews in which he criticised them for decorating their lobby with a portrait of a “Nazi grandpa” in a uniform adorned with a swastika. The man, named in court docu…",https://www.irishtimes.com/life-and-style/travel/hotel-sues-tourist-after-he-complained-about-nazi-portraits-1.4009971,https://www.irishtimes.com/image-creator/?id=1.4009967&origw=960,2019-09-06T12:18:33Z,"A German man is being sued by the owners of a four-star hotel in Austria after posting online reviews in which he criticised them for decorating their lobby with a portrait of a Nazi grandpa in a uniform adorned with a swastika.
The man, named in court docum… [+3036 chars]",0.0,0.0,0.0,1.0,0.0
bbc-news,BBC News,,County Championship: Middlesex collapse in response to Durham's low total,Durham reduce Middlesex to 87-7 after being bowled out for just 147 on day one of their game at Lord's.,https://www.bbc.co.uk/sport/cricket/49564037,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/D358/production/_108740145_shutterstock_editorial_10201870dz.jpg,2019-09-10T17:03:14Z,"Tim Murtagh, who finished with figures of 3-32, was playing at Lord's for the first time since taking 5-18 against England for Ireland
<table><tr><td>Specsavers County Championship Division Two, Lord's (day one):</td></tr><tr><td>Durham 147: Handscombe 54; F… [+1294 chars]",0.0,0.0,0.0,5.0,0.0
the-irish-times,The Irish Times,Donald Clarke,Nothing boosts the cinema experience like a mass walkout,Why are audience members so eager to flee screenings of The Painted Bird?,https://www.irishtimes.com/culture/nothing-boosts-the-cinema-experience-like-a-mass-walkout-1.4008954,https://www.irishtimes.com/image-creator/?id=1.4008953&origw=1440,2019-09-07T05:06:00Z,"Theres so much to the theatrical experience that you cant get from a watching a film on even the biggest television. The communal buzz. The enveloping darkness. The sound of seats snapping up as disgusted punters storm ostentatiously from the auditorium.
I'm… [+4707 chars]",0.0,0.0,0.0,0.0,0.0
abc-news,ABC News,The Associated Press,"In New Hampshire, 2020 Dems urge voters to not play it safe","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Politics/wireStory/dems-make-2020-case-hampshire-power-brokers-65452035,https://s.abcnews.com/images/Politics/WireAP_c86669cdde594b499db01076f15a5bc9_16x9_992.jpg,2019-09-07T17:18:17Z,"A trio of Democratic presidential candidates urged voters in New Hampshire on Saturday to not play it safe in the 2020 election, leveling an implicit critique of front-runner Joe Biden.
Biden has centered his campaign on his years of experience in Washington… [+2319 chars]",1.0,34.0,26.0,7.0,0.0
cnn,CNN,"Analysis by Harry Enten, CNN",Warren and Sanders say Americans don't like their health insurance. Polls don't back that up.,First things first: The theme song of the week is The Days and Nights of Molly Dodd.,https://www.cnn.com/2019/09/14/politics/poll-warren-sanders-health-insurance/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190912222018-44-third-dem-debate-0912-super-tease.jpg,2019-09-14T14:07:30Z,,0.0,243.0,399.0,161.0,0.0
the-irish-times,The Irish Times,Ciarán Hancock,Vodafone extends sponsorship of Irish rugby for another four years,Deal with IRFU is believed to be worth €16m and sees Vodafone as principal sponsor of Irish rugby team and women’s interprovincial competition,https://www.irishtimes.com/business/media-and-marketing/vodafone-extends-sponsorship-of-irish-rugby-for-another-four-years-1.4009909,https://www.irishtimes.com/image-creator/?id=1.4009908&origw=1440,2019-09-06T11:00:29Z,"Vodafone has extended its sponsorship deal with the IRFU for another four years, in a deal believed to be worth 16 million. 
The sponsorship extension out to 2024 will see Vodafone Ireland continue as the principal sponsor of the Irish rugby team and communi… [+2023 chars]",0.0,2.0,0.0,1.0,0.0
abc-news,ABC News,Thomas Smith,New Experiences Coming to Tokyo Disneyland Spring of 2020,"We recently announced exciting new experiences coming to Tokyo Disneyland spring of 2020. We’re now thrilled to share that “New Fantasyland,” a new area featuring the Enchanted Tale of Beauty and the Beast attraction and the indoor Fantasyland Forest Theatre,…",https://disneyparks.disney.go.com/blog/2019/09/new-experiences-coming-to-tokyo-disneyland-spring-of-2020/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2019/09/lSDfhwkbjh53yhi12.jpg,2019-09-19T14:30:12Z,"We recently announced exciting new experiences coming to Tokyo Disneyland spring of 2020. Were now thrilled to share that New Fantasyland, a new area featuring the Enchanted Tale of Beauty and the Beast attraction and the indoor Fantasyland Forest Theatre, wi… [+1192 chars]",0.0,586.0,79.0,97.0,0.0
cnn,CNN,"David Williams, CNN",Owner explains how his Jeep got stuck on Myrtle Beach during Hurricane Dorian,The owner of the Jeep abandoned on Myrtle Beach during Hurricane Dorian will probably think twice before giving someone his car keys.,http://us.cnn.com/2019/09/06/us/dorian-myrtle-beach-jeep-owner-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190906093659-01-jeep-dorian-myrtle-beach-0905-super-tease.jpg,2019-09-06T15:29:48Z,,1.0,0.0,0.0,0.0,0.0
bbc-news,BBC News,BBC News,How tiny satellites could transform weather forecasting,CubeSats can provide a more affordable alternative to conventional satellites.,https://www.bbc.co.uk/news/av/technology-49552894/how-tiny-satellites-could-transform-weather-forecasting,https://ichef.bbci.co.uk/news/1024/branded_news/1108E/production/_108747796_p07n1j60.jpg,2019-09-12T14:03:15Z,,0.0,0.0,0.0,0.0,0.0
al-jazeera-english,Al Jazeera English,Alan Fisher,Hurricane-hit Bahamas faces new tropical storm warning,Prime minister says he hopes the potential storm will cause few problems - but people are prepared.,https://www.aljazeera.com/news/2019/09/hurricane-hit-bahamas-faces-tropical-storm-warning-190915072901854.html,https://www.aljazeera.com/mritems/images/2019/9/15/665003303001_6086249370001_6086245224001-th.jpg,2019-09-15T07:29:01Z,"Another storm is approaching the Bahamas, the Atlantic island chain devastated by Hurricane Dorian earlier this month. 
With 1,300 people still missing, heavy rains and strong winds could make search-and-rescue efforts more difficult. 
The National Hurrican… [+198 chars]",0.0,0.0,0.0,9.0,0.0
abc-news,ABC News,The Associated Press,"For Julie Andrews, sudden success was 'like an assault'","Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/Entertainment/wireStory/julie-andrews-sudden-success-assault-65358708,https://s.abcnews.com/images/Entertainment/WireAP_fe7beb67b53d48789ffabd061e9610d4_16x9_992.jpg,2019-09-03T15:23:55Z,"Julie Andrews is reflecting on her career at the Venice International Film Festival, where she received the Golden Lion for Lifetime Achievement Award Monday evening.
The 83-year-old said Tuesday that success was like an assault at first. She had the unique … [+466 chars]",0.0,0.0,0.0,0.0,0.0
reuters,Reuters,Reuters Editorial,Axel Springer plans layoffs after KKR becomes biggest shareholder: report,"Axel Springer is planning layoffs as part of a cost-cutting program that would mainly affect its newspapers, the German media group's chief executive told the Sueddeutsche Zeitung in an interview released on Sunday.",https://uk.reuters.com/article/us-axel-springer-layoffs-kkr-idUKKBN1W00MK,https://s4.reutersmedia.net/resources/r/?m=02&d=20190915&t=2&i=1430162830&w=1200&r=LYNXMPEF8E0LZ,2019-09-15T16:57:58Z,"BERLIN (Reuters) - Axel Springer (SPRGn.DE) is planning layoffs as part of a cost-cutting program that would mainly affect its newspapers, the German media group’s chief executive told the Sueddeutsche Zeitung in an interview released on Sunday. 
“It doesn’t… [+505 chars]",0.0,0.0,0.0,0.0,0.0
bbc-news,BBC News,,Miguel Cummins: Middlesex sign West Indies fast bowler for rest of 2019,Middlesex sign West Indies paceman Miguel Cummins for final three games of the County Championship season.,https://www.bbc.co.uk/sport/cricket/49635316,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/4DA4/production/_108667891_gettyimages-888597210.jpg,2019-09-09T10:29:06Z,"Miguel Cummins has taken 27 Test wickets for the West Indies at an average of 40.14
Middlesex have signed West Indies paceman Miguel Cummins for the rest of the County Championship season.
The Barbadian, 29, is available for the four-day game against Durham… [+636 chars]",0.0,0.0,0.0,4.0,0.0
abc-news,ABC News,The Associated Press,Couple arrested for burglary 3 years after $500K lottery win,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",https://abcnews.go.com/US/wireStory/couple-arrested-burglary-years-500k-lottery-win-65362805,,2019-09-03T17:46:56Z,"A Michigan couple who won $500,000 on a state lottery scratch-off ticket in 2016 has been charged in a string of burglaries.
MLive.com reports that 29-year-old Mitchell Arnswald and 28-year-old Stephanie Harvell were arraigned Friday on home invasion and pos… [+624 chars]",0.0,0.0,0.0,0.0,0.0
al-jazeera-english,Al Jazeera English,Heidi Zhou-Castro,Trump's border wall â€˜will threaten biodiversityâ€™,The National Butterfly Center is fighting the Trump administrationâ€™s plans to build an 11-metre wall through its property.,https://www.aljazeera.com/news/2019/09/trumps-border-wall-will-threaten-biodiversity-190919134159313.html,https://www.aljazeera.com/mritems/images/2019/9/19/665003303001_6087456822001_6087453611001-th.jpg,2019-09-19T13:41:59Z,"US President Donald Trump's plan to build a wall on the border with Mexico has been criticised for its expensive price tag.
But it is the cost to the environment that is now being questioned, with some living on the border warning it will have a devastating … [+83 chars]",0.0,0.0,0.0,16.0,0.0
